Government Transfers,,
"for the Fiscal Year Ended March 31, 2019",,
"(Details of payees receiving $25,000 or more)",,
,,
NAME,MINISTRY,AMOUNT
0691913 B.C. LTD.,Children and Family Development,"25,220"
0691913 B.C. LTD.,Social Development and Poverty Reduction,51
0701743 B.C. LTD.,Public Safety and Solicitor General,"113,568"
0701743 B.C. LTD.,Social Development and Poverty Reduction,"105,903"
0702945 B.C. LTD.,Children and Family Development,"28,658"
0738736 B.C. LTD.,Children and Family Development,"167,300"
0761100 B.C. LTD.,Children and Family Development,"85,551"
0799164 B.C. LTD.,Children and Family Development,"649,490"
0800030 B.C. LTD.,Children and Family Development,"41,007"
0800030 B.C. LTD.,Social Development and Poverty Reduction,"514,876"
0816259 B.C. LTD.,Children and Family Development,"8,069"
0816259 B.C. LTD.,Social Development and Poverty Reduction,"89,460"
0829370 B.C. LTD.,"Advanced Education, Skills and Training","76,785"
0831733 B.C. LTD.,Children and Family Development,"184,039"
0840298 B.C. LTD.,Children and Family Development,"61,501"
0853123 B.C. LTD.,Children and Family Development,"298,738"
0866488 B.C. LTD.,Children and Family Development,"194,085"
0891256 B.C. LTD.,Children and Family Development,"140,441"
0896328 B.C. LTD.,Children and Family Development,"668,485"
0911217 B.C. LTD.,"Advanced Education, Skills and Training","331,680"
0911217 B.C. LTD.,Social Development and Poverty Reduction,"2,698,363"
0921157 B.C. LTD.,"Advanced Education, Skills and Training","243,858"
0932877 B.C. LTD.,Children and Family Development,"34,848"
0945539 B.C. LTD.,Children and Family Development,"57,945"
0966809 B.C. LTD.,Children and Family Development,"436,334"
0968446 B.C. LTD.,Children and Family Development,"182,081"
0968940 B.C. LTD.,Children and Family Development,"26,880"
0975366 B.C. LTD.,Children and Family Development,"163,310"
1 STEP AHEAD SERVICES INC.,Children and Family Development,"482,164"
100 MILE & DISTRICT MINOR HOCKEY ASSOCIATION,Attorney General,"36,400"
100 MILE AND DISTRICT COMMUNITY POLICING CONSULTATIVE COMMITTEE,Public Safety and Solicitor General,"56,352"
100 MILE HOUSE AND DISTRICT WOMEN'S CENTRE SOCIETY,Attorney General,"18,500"
100 MILE HOUSE AND DISTRICT WOMEN'S CENTRE SOCIETY,Public Safety and Solicitor General,"130,457"
100 MILE HOUSE FOOD BANK SOCIETY,Attorney General,"95,000"
100 MILE HOUSE WRANGLERS JUNIOR B HOCKEY CLUB,Attorney General,"30,000"
100 MILE NORDIC SKI SOCIETY,"Forests, Lands, Natural Resource Operations and Rural Development","388,375"
1000673 B.C. LTD.,Children and Family Development,"442,785"
1025704 BC LTD,Children and Family Development,"147,669"
1030656 B.C. LTD.,Children and Family Development,"136,875"
1032454 B.C. LTD.,Attorney General,"97,091"
1047030 B.C. LTD.,Children and Family Development,"25,369"
1048004 B.C. LTD.,Children and Family Development,"33,812"
1063172 B.C. LTD.,Children and Family Development,"98,200"
10647802 CANADA LIMITED,"Forests, Lands, Natural Resource Operations and Rural Development","50,000"
1084914 B.C. LTD.,"Advanced Education, Skills and Training","40,000"
1139861 B.C. LTD.,Children and Family Development,"102,832"
1145803 B.C. LTD,Children and Family Development,"96,540"
1184933 B.C. LTD.,Children and Family Development,"30,172"
1253673 ALBERTA LTD,Children and Family Development,"344,546"
16TH AVENUE FARMS LTD.,Agriculture,"119,199"
1ST CHOICE MOBILITY PRODUCTS INC.,Children and Family Development,"5,928"
1ST CHOICE MOBILITY PRODUCTS INC.,Public Safety and Solicitor General,559
1ST CHOICE MOBILITY PRODUCTS INC.,Social Development and Poverty Reduction,"374,291"
1ST STEP MONTESSORI INC.,Children and Family Development,"47,880"
211 BRITISH COLUMBIA SERVICES SOCIETY,Attorney General,"357,447"
211 BRITISH COLUMBIA SERVICES SOCIETY,Health,"178,758"
211 BRITISH COLUMBIA SERVICES SOCIETY,Public Safety and Solicitor General,"621,686"
2188262 ONTARIO LTD.,Social Development and Poverty Reduction,"49,494"
221A ARTIST RUN CENTRE SOCIETY,Attorney General,"10,500"
221A ARTIST RUN CENTRE SOCIETY,"Tourism, Arts and Culture","20,000"
2400 MOTEL,Children and Family Development,"3,665"
2400 MOTEL,Public Safety and Solicitor General,"62,879"
2400 MOTEL,Social Development and Poverty Reduction,353
249937 BRITISH COLUMBIA LTD.,Children and Family Development,"70,714"
330696 B.C. LTD.,Children and Family Development,"92,619"
3H CRAFTWORKS SOCIETY,Attorney General,"60,000"
411 SENIORS CENTRE SOCIETY (1977),Attorney General,"60,000"
432306 B.C. LTD.,Social Development and Poverty Reduction,"176,830"
444500 B.C. LTD.,Children and Family Development,"108,433"
484017 B.C. LTD.,Social Development and Poverty Reduction,"65,655"
4R'S EDUCATION CENTRE (SOC.),Attorney General,"33,000"
4R'S EDUCATION CENTRE (SOC.),Children and Family Development,"14,326"
4–H BRITISH COLUMBIA PROVINCIAL COUNCIL SOCIETY,Agriculture,"150,000"
5 CORNERS DAY CARE INC.,Children and Family Development,"147,110"
509014 B.C. LTD.,Social Development and Poverty Reduction,"58,429"
514965 B.C. LTD.,Children and Family Development,"33,637"
543815 B.C. LTD.,Children and Family Development,"25,756"
547727 B.C. LTD.,Social Development and Poverty Reduction,"57,310"
587085 B.C. LTD.,Social Development and Poverty Reduction,"48,068"
646946 B.C. LTD.,Children and Family Development,"3,485"
646946 B.C. LTD.,Social Development and Poverty Reduction,"23,332"
650600 B.C. LTD.,Social Development and Poverty Reduction,"72,567"
650603 BC LTD.,Social Development and Poverty Reduction,"82,966"
652452 B.C. LTD.,Children and Family Development,"34,674"
663975 B.C. LTD.,"Advanced Education, Skills and Training","25,000"
668659 B.C. LTD.,Social Development and Poverty Reduction,"87,397"
6730907 MANITOBA INC.,Children and Family Development,"62,500"
674087 B.C. LTD.,Children and Family Development,"214,900"
9018344 CANADA SOCIETY,"Tourism, Arts and Culture","60,830"
9483748 CANADA CORPORATION,Children and Family Development,"51,535"
A & G SUPPLY LTD.,"Advanced Education, Skills and Training","56,951"
A & N ACADEMIC MONTESSORI SCHOOL LTD.,Children and Family Development,"29,369"
A BASIC CREMATION,Social Development and Poverty Reduction,"51,100"
A BETTER PLACE,Social Development and Poverty Reduction,"225,168"
